ID,Name,Lat,Lng,Seq,Police,Office,GroupID,FlashCfg,OpIntervention,ArrowConfigs,Controller,DiagramOrder,Weekly_plan
"krd-35380","명진카센터","37.592253010","127.012883900","3538","성북","성북","362","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-35390","북한산시티149동","37.619439910","127.015235600","3539","강북","강북","278","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-35400","신화초교","37.631522880","127.041753300","3540","도봉","도봉","1843","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-35401","신화초교(연등)","37.631948690","127.041062500","3540","도봉","도봉","1843","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-35420","힐스테이트신촌115동","37.560145770","126.950450500","3542","서대문","서대문","1849","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-35430","신촌푸르지오1단지후문","37.560748860","126.951408300","3543","서대문","서대문","1849","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-35440","힐스테이트신촌정문","37.561128410","126.951934400","3544","서대문","서대문","1849","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-35460","힐스테이트신촌103동","37.562481260","126.952074600","3546","서대문","서대문","1849","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-35580","교보생명","37.571562840","126.977265800","3558","종로","종로","528","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-35590","으뜸부동산","37.554383640","126.946566400","3559","마포","마포","1853","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-35600","마포프레스티지101동","37.554649370","126.948322800","3560","마포","마포","1853","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-35610","한서초교","37.553657510","126.948670600","3561","마포","마포","1853","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-35620","마포프레스티지302동","37.553192650","126.946623300","3562","마포","마포","1853","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-35660","별빛어린이공원","37.619319160","127.072339600","3566","노원","노원","1693","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-35670","공릉대아아파트","37.622793220","127.071287700","3567","노원","노원","1693","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-35730","장위꿈의숲713동","37.619116510","127.047224900","3573","종암","종암","1847","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-35740","장위꿈의숲707동","37.619911810","127.048460100","3574","종암","종암","1847","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-35750","장위꿈의숲701동","37.620453700","127.049482800","3575","종암","종암","1847","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-35760","장위꿈의숲703동","37.618884770","127.050964500","3576","종암","종암","1847","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-35770","꿈의숲교회","37.617465350","127.050391100","3577","종암","종암","1848","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-35790","공릉동부아파트","37.627697390","127.077986100","3579","노원","노원","698","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-35800","대경빌딩","37.623928580","127.071941500","3580","노원","노원","280","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-35840","필현빌딩","37.571173270","127.015768000","3584","혜화","혜화","532","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-35850","디지털미디어시티입구","37.574182930","126.886497600","3585","마포","마포","570","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-35860","서부면허시험장입구","37.575753770","126.883770700","3586","마포","마포","570","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-35870","난지천공원입구","37.577420840","126.880924700","3587","마포","마포","570","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-35880","구룡사거리","37.580239080","126.876251200","3588","마포","마포","49","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-35890","상암동가스충전소","37.581486410","126.878638700","3589","마포","마포","49","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-35900","월드컵파크7단지","37.583289180","126.882077300","3590","마포","마포","49","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-35910","DMC첨단산업센터","37.584928640","126.884388900","3591","마포","마포","49","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-35911","DMC첨단산업센터(연등)","37.585813160","126.885608900","3591","마포","마포","49","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-35920","우리금융상암센터","37.583653320","126.887070900","3592","마포","마포","1840","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-35930","우리은행상암동지점","37.582779710","126.886191800","3593","마포","마포","696","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-35940","은평수협앞","37.602418380","126.926453800","3594","서부","서부","621","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-35950","월드컵파크6단지","37.581530610","126.884964000","3595","마포","마포","52","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-35960","스탠포드호텔사거리","37.582374980","126.887406100","3596","마포","마포","696","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-35970","상암디지털드림타워","37.581899310","126.888415600","3597","마포","마포","696","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-35980","상암사보이시티DMC","37.581342500","126.889374200","3598","마포","마포","696","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-35990","월드컵파크5단지","37.579796230","126.887890000","3599","마포","마포","52","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-36000","디지털미디어시티","37.578178420","126.890572600","3600","마포","마포","52","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-36001","디지털미디어시티(연등)","37.579319820","126.891663500","3600","마포","마포","52","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-36010","월드컵파크407동","37.577076260","126.889461200","3601","마포","마포","37","0|||","0|","","","-1","1;1;1;1;1;2;3"
